"whale_id","iteration","sim_id","step_id","choice_id","dTime","long","lat","used","location_type"
"254027_0_t2",1,"254027_0_t2_crw_001",1,"254027_0_t2_20240419T230000",2024-04-19 23:00:00,-121.8284649,36.7939728,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",2,"254027_0_t2_20240420T050000",2024-04-20 05:00:00,-121.856672006505,36.8188679654975,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",3,"254027_0_t2_20240420T110000",2024-04-20 11:00:00,-121.925866134171,36.8084002167666,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",4,"254027_0_t2_20240420T170000",2024-04-20 17:00:00,-121.923525462802,36.8115423735149,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",5,"254027_0_t2_20240420T230000",2024-04-20 23:00:00,-121.876507960513,36.7391142893646,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",6,"254027_0_t2_20240421T050000",2024-04-21 05:00:00,-121.88391577682,36.7570931576555,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",7,"254027_0_t2_20240421T110000",2024-04-21 11:00:00,-121.912359129148,36.8937523702264,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",8,"254027_0_t2_20240421T170000",2024-04-21 17:00:00,-121.884476576344,36.8883231518047,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",9,"254027_0_t2_20240421T230000",2024-04-21 23:00:00,-121.965543862732,36.9296807485572,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",10,"254027_0_t2_20240422T050000",2024-04-22 05:00:00,-122.068228990634,36.9192761961474,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",11,"254027_0_t2_20240422T110000",2024-04-22 11:00:00,-122.008743564864,36.8963637584012,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",12,"254027_0_t2_20240422T170000",2024-04-22 17:00:00,-122.04756638862,36.882710477137,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",13,"254027_0_t2_20240422T230000",2024-04-22 23:00:00,-122.094125264871,36.8085135961011,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",14,"254027_0_t2_20240423T050000",2024-04-23 05:00:00,-122.184772246481,36.7875425902971,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",15,"254027_0_t2_20240423T110000",2024-04-23 11:00:00,-122.151188449154,36.7098732791848,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",16,"254027_0_t2_20240423T170000",2024-04-23 17:00:00,-122.167265042576,36.636999840039,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",17,"254027_0_t2_20240423T230000",2024-04-23 23:00:00,-122.179267451792,36.639124810454,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",18,"254027_0_t2_20240424T050000",2024-04-24 05:00:00,-122.162651833145,36.657883708215,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",19,"254027_0_t2_20240424T110000",2024-04-24 11:00:00,-122.130099145815,36.5896826179328,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",20,"254027_0_t2_20240424T170000",2024-04-24 17:00:00,-122.20774865837,36.5592512321931,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",21,"254027_0_t2_20240424T230000",2024-04-24 23:00:00,-122.212712850739,36.4909346916153,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",22,"254027_0_t2_20240425T050000",2024-04-25 05:00:00,-122.105204348821,36.489027208124,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",23,"254027_0_t2_20240425T110000",2024-04-25 11:00:00,-121.99552356831,36.4267683667839,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",24,"254027_0_t2_20240425T170000",2024-04-25 17:00:00,-122.133025597226,36.4452735854487,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",25,"254027_0_t2_20240425T230000",2024-04-25 23:00:00,-122.295988564566,36.4886063841787,0,"available_crw"
"254027_0_t2",1,"254027_0_t2_crw_001",26,"254027_0_t2_20240426T050000",2024-04-26 05:00:00,-122.400705483477,36.5103129314683,0,"available_crw"
