original_track_id,domain_run,n_locations,start_time,end_time,duration_hours,start_lon,start_lat,end_lon,end_lat
254025_0,0,25,2024-04-08T17:00:00Z,2024-04-16T11:00:00Z,186,-122.0699,36.9509,-121.5205011,35.61812681
254025_0,2,1,2024-04-28T11:00:00Z,2024-04-28T11:00:00Z,0,-121.3517483,35.54187082,-121.3517483,35.54187082
254025_0,4,4,2024-05-06T23:00:00Z,2024-05-07T17:00:00Z,18,-121.4022917,35.53280056,-121.216717,35.50514389
254025_0,6,2,2024-05-08T05:00:00Z,2024-05-08T11:00:00Z,6,-121.4373479,35.54152852,-121.4964473,35.61775948
254025_0,8,1,2024-05-09T11:00:00Z,2024-05-09T11:00:00Z,0,-121.3515721,35.52507796,-121.3515721,35.52507796
254025_0,10,4,2024-05-09T23:00:00Z,2024-05-10T17:00:00Z,18,-121.291817,35.56259256,-121.3643608,35.57732001
254025_0,12,3,2024-05-11T05:00:00Z,2024-05-11T17:00:00Z,12,-121.4506553,35.55743646,-121.4041139,35.50393785
254025_0,14,155,2024-05-12T05:00:00Z,2024-06-19T17:00:00Z,924,-121.5241741,35.55347439,-122.7333275,37.05834193
254026_0,0,70,2024-04-08T17:00:00Z,2024-04-25T23:00:00Z,414,-122.0637,36.9493,-123.1418028,37.85933616
254026_0,2,1,2024-04-28T05:00:00Z,2024-04-28T05:00:00Z,0,-123.9385753,37.97505535,-123.9385753,37.97505535
254026_0,4,30,2024-04-28T23:00:00Z,2024-05-06T05:00:00Z,174,-123.7307462,37.33474447,-122.2263465,36.0630201
254026_2,0,117,2024-05-14T18:00:00Z,2024-06-12T18:00:00Z,696,-122.2837,36.3145,-121.9830705,36.87183985
254027_0,0,162,2024-04-08T17:00:00Z,2024-05-21T11:00:00Z,1026,-122.0682,36.9493,-122.1959427,36.92336304
254030_0,0,152,2024-04-08T17:00:00Z,2024-05-16T11:00:00Z,906,-122.0504,36.9485,-122.5916117,36.77138159
