tags,long,lat,dTime,source_file
254025_0,-121.5241741,35.55347439,2024-05-12T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-121.7049392,35.72128451,2024-05-12T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-121.7194353,35.82639682,2024-05-12T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-121.7620364,35.90719524,2024-05-12T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-121.8092219,36.04851109,2024-05-13T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-121.9640398,36.10751886,2024-05-13T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-121.9721452,36.07147722,2024-05-13T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-121.9556153,36.07853953,2024-05-13T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.0537348,36.17924289,2024-05-14T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.1225399,36.25142433,2024-05-14T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.099625,36.21474402,2024-05-14T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.0430603,36.13762597,2024-05-14T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.0765033,36.11521103,2024-05-15T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.1368366,36.14518554,2024-05-15T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.1376297,36.21183066,2024-05-15T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.1866435,36.21138193,2024-05-15T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2618476,36.23092834,2024-05-16T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2790898,36.35725728,2024-05-16T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3240854,36.51521001,2024-05-16T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.321443,36.49907531,2024-05-16T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3718539,36.43660834,2024-05-17T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3576652,36.45948098,2024-05-17T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.1306762,36.35104018,2024-05-17T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.249281,36.35190742,2024-05-17T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4003781,36.41966246,2024-05-18T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4327592,36.56190698,2024-05-18T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4192868,36.64697247,2024-05-18T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.475847,36.64225526,2024-05-18T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5662868,36.6292266,2024-05-19T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3619616,36.6863324,2024-05-19T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.0918195,36.61004512,2024-05-19T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.0198275,36.57855649,2024-05-19T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.043874,36.71595852,2024-05-20T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.0762449,36.85132629,2024-05-20T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.1446736,36.79752669,2024-05-20T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2107739,36.89216381,2024-05-20T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4826166,36.93077982,2024-05-21T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4357697,36.92329003,2024-05-21T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3735898,36.77852274,2024-05-21T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.519039,36.74041127,2024-05-21T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.596439,36.73244425,2024-05-22T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5563873,36.72368292,2024-05-22T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4614432,36.70842556,2024-05-22T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4537023,36.65398749,2024-05-22T23:00:00Z,254025-RawArgos_pred_6h.csv
