whale_id,week,total_choices,retained_choices,retained_percent
254025,2024-05-12,10,0,0
254025,2024-05-19,28,25,89.28571428571429
254025,2024-05-26,28,19,67.85714285714286
254025,2024-06-02,28,18,64.28571428571429
254025,2024-06-09,28,16,57.142857142857146
254025,2024-06-16,15,15,100
254026,2024-04-07,21,17,80.95238095238095
254026,2024-04-14,8,7,87.5
254026,2024-05-26,2,1,50
254026,2024-06-02,28,18,64.28571428571429
254026,2024-06-09,16,10,62.5
254027,2024-04-14,24,23,95.83333333333333
254027,2024-04-21,28,20,71.42857142857143
254027,2024-04-28,27,21,77.77777777777777
254027,2024-05-05,28,24,85.71428571428571
254027,2024-05-12,27,0,0
254027,2024-05-19,10,10,100
254030,2024-04-07,21,16,76.19047619047619
254030,2024-04-14,28,27,96.42857142857143
254030,2024-04-21,27,16,59.25925925925926
254030,2024-04-28,28,21,75
254030,2024-05-05,28,24,85.71428571428571
254030,2024-05-12,18,0,0
