Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
6218,254022,3,NP,2,1,08-Apr-2024,17:19:30,36.9521,-122.0738,,401677598,-127,50,0,08-Apr-2024,17:17:01,36.9521,-122.0738,542,319,970,104,96,,,105,143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,23,NP,2,1,08-Apr-2024,17:19:30,36.9521,-122.0738,,401677598,-127,50,0,08-Apr-2024,17:20:00,36.9521,-122.0738,542,319,970,104,96,,,89,144,165,253,232,150,225,17,20,69,81,18,22,11,209,30,1,255,1,201,32,0,0,,,,,,,,,
6218,254022,3,NP,2,1,08-Apr-2024,17:19:30,36.9521,-122.0738,,401677598,-127,50,0,08-Apr-2024,17:21:30,36.9521,-122.0738,542,319,970,104,96,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NP,2,1,08-Apr-2024,17:19:30,36.9521,-122.0738,,401677598,-127,50,0,08-Apr-2024,17:23:03,36.9521,-122.0738,542,319,970,104,96,,,58,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NP,2,1,08-Apr-2024,17:19:30,36.9521,-122.0738,,401677598,-127,50,0,08-Apr-2024,17:24:33,36.9521,-122.0738,542,319,970,104,96,,,64,129,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NP,2,1,08-Apr-2024,17:19:30,36.9521,-122.0738,,401677598,-127,50,0,08-Apr-2024,17:26:03,36.9521,-122.0738,542,319,970,104,96,,,89,236,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,MB,B,2,08-Apr-2024,17:33:28,36.9506,-122.0733,,401677600,-130,6,0,08-Apr-2024,17:33:28,36.9506,-122.0733,,1198,1540,931,92,,,75,103,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,0,11-Sep-2024,15:57:59,36.9429,-122.0472,604,861,4841,153,100,,,95,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,0,11-Sep-2024,15:58:29,36.9429,-122.0472,604,861,4841,153,100,,,108,142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,0,11-Sep-2024,15:59:29,36.9429,-122.0472,604,861,4841,153,100,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,0,11-Sep-2024,15:59:59,36.9429,-122.0472,604,861,4841,153,100,,,53,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,0,11-Sep-2024,16:00:29,36.9429,-122.0472,604,861,4841,153,100,,,72,214,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,0,11-Sep-2024,16:02:01,36.9429,-122.0472,604,861,4841,153,100,,,93,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,0,11-Sep-2024,16:03:31,36.9429,-122.0472,604,861,4841,153,100,,,99,141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,3,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,0,11-Sep-2024,16:05:01,36.9429,-122.0472,604,861,4841,153,100,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254022,23,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,0,11-Sep-2024,16:06:31,36.9429,-122.0472,604,861,4841,153,100,,,73,144,165,253,232,150,226,86,245,192,104,27,214,12,55,26,1,255,1,201,0,0,0,,,,,,,,,
6218,254022,3,NK,1,3,11-Sep-2024,16:01:29,36.9429,-122.0472,,401677590,-123,40,1,11-Sep-2024,16:08:03,36.9429,-122.0472,604,861,4841,153,100,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT,Diags,Passes,Msgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254022,0,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
