DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
254025,254025,UT,DS,5,0,0,135,90,17:19:28 08-Apr-2024,NP,3,36.9509,-122.0699,36.9509,-122.0699,50,,401677651,-124
254025,254025,UT,DS,1,0,0,,,17:33:04 08-Apr-2024,MB,B,36.9502,-122.0696,36.9502,-122.0696,6,,401677657,-133
254025,254025,UT,DS,1,0,0,,,19:24:00 10-Apr-2024,MC,,,,,,,,401650000,
254025,254025,UT,DS,1,0,1,,,20:05:14 10-Apr-2024,NN,,,,,,,,401650000,-137
254025,254025,UT,DS,1,0,0,,,23:06:34 10-Apr-2024,CS,,,,,,,,401650000,-140
254025,254025,UT,DS,1,0,0,,,02:28:47 11-Apr-2024,CS,,,,,,,,401650000,-136
254025,254025,UT,DS,2,0,0,237,237,02:40:17 11-Apr-2024,A1,B,36.7466,-121.9812,36.7466,-121.9812,,,401677723,-131
254025,254025,UT,DS,1,0,0,,,02:49:17 11-Apr-2024,SR,B,36.7226,-122.0762,36.7226,-122.0762,6,,401677764,-131
254025,254025,UT,DS,1,0,0,,,02:56:55 11-Apr-2024,NK,B,36.7111,-122.1092,36.7111,-122.1092,6,,401677734,-124
254025,254025,UT,DS,2,0,0,211,211,04:20:37 11-Apr-2024,NP,B,36.6419,-122.2115,36.6419,-122.2115,8,,401677731,-131
254025,254025,UT,DS,2,0,0,205,205,04:33:35 11-Apr-2024,NK,B,36.6603,-122.3515,36.6603,-122.3515,6,,401677720,-130
254025,254025,UT,DS,2,0,0,256,256,04:59:34 11-Apr-2024,MC,,,,,,,,401650000,
254025,254025,UT,DS,1,0,1,,,05:40:47 11-Apr-2024,NN,B,36.6466,-122.3739,36.6466,-122.3739,8,,401677698,-128
254025,254025,UT,DS,3,0,0,70,56,06:02:13 11-Apr-2024,NP,A,36.6732,-122.3818,36.6732,-122.3818,6,,401677688,-126
