DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
254030,254030,UT,01:33:52 10-Apr-2024,,,A,36.7643,-121.8962,CRC 127.185,01:33:52 10-Apr-2024,Status,79,240,165,245,232,147,192,7,197,207,204,116,168,255,63,221,124,241,103,200,249,130,193,,,,,,,,,
254030,254030,UT,02:24:07 11-Apr-2024,,,B,36.8486,-122.0620,CRC 2.7,02:24:07 11-Apr-2024,Status,34,136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,05:41:06 11-Apr-2024,,,B,36.8964,-122.3034,CRC 11.8,05:41:06 11-Apr-2024,Status,27,143,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,14:03:25 11-Apr-2024,,,B,37.0674,-122.4152,CRC 11.14,14:03:25 11-Apr-2024,Status,27,31,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,15:10:56 11-Apr-2024,,,B,37.0818,-122.4002,CRC 11.3,15:10:56 11-Apr-2024,Status,27,143,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,07:59:34 12-Apr-2024,,,B,37.2631,-122.5453,CRC 14.15,07:59:34 12-Apr-2024,Status,14,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,17:48:36 12-Apr-2024,,,B,37.3192,-122.5359,CRC 11.8,17:48:36 12-Apr-2024,Status,27,143,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,20:08:02 12-Apr-2024,,,1,37.3727,-122.5530,CRC 10.11,20:08:02 12-Apr-2024,Status,26,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,03:41:12 13-Apr-2024,,,A,37.4228,-122.5100,CRC 9.2,03:41:12 13-Apr-2024,Status,89,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,16:04:16 13-Apr-2024,,,B,37.4284,-122.5707,CRC 227.222,01:51:20 23-Apr-2024,Status,92,112,165,253,232,151,131,247,11,135,53,13,202,249,174,178,35,88,209,91,43,154,18,,,,,,,,,
254030,254030,UT,21:03:25 13-Apr-2024,,,A,37.3439,-122.6490,CRC 15.12,21:03:25 13-Apr-2024,Status,79,108,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,21:04:12 13-Apr-2024,,,B,37.3419,-122.6514,CRC 3.0,,,115,100,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,17:15:24 14-Apr-2024,,,A,37.2668,-122.6082,CRC 149.55,17:16:39 14-Apr-2024,Status,82,176,165,253,232,151,129,19,23,69,9,214,20,21,189,16,1,98,23,210,146,132,155,,,,,,,,,
254030,254030,UT,02:25:19 15-Apr-2024,,,B,37.3109,-122.6797,CRC 9.11,02:25:19 15-Apr-2024,Status,25,125,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,03:28:24 15-Apr-2024,,,A,37.3120,-122.6399,CRC 11.14,03:28:24 15-Apr-2024,Status,27,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,04:02:07 15-Apr-2024,,,B,37.3109,-122.6430,CRC 14.15,,,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,05:13:43 15-Apr-2024,,,2,37.2960,-122.6059,,,,98,136,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,15:10:09 15-Apr-2024,,,B,37.2904,-122.5712,CRC 13.4,15:10:09 15-Apr-2024,Status,45,250,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,04:09:51 16-Apr-2024,,,2,37.3378,-122.5935,CRC 12.3,04:09:51 16-Apr-2024,Status,12,132,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,06:17:20 16-Apr-2024,,,0,37.3660,-122.5791,CRC,11:37:08 08-Jan-2021,Fast-GPS,104,161,114,144,183,250,167,207,127,83,164,112,198,73,130,138,29,45,75,12,37,86,196,,,,,,,,,
254030,254030,UT,08:12:17 16-Apr-2024,,,3,37.3672,-122.5977,CRC 11.13,08:12:17 16-Apr-2024,Status,91,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,12:53:01 16-Apr-2024,,,B,37.3477,-122.6150,CRC 2.14,12:53:01 16-Apr-2024,Status,66,101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,14:43:17 16-Apr-2024,,,B,37.3470,-122.6118,CRC 9.4,14:43:17 16-Apr-2024,Status,41,57,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,17:21:44 16-Apr-2024,,,B,37.3312,-122.5611,CRC 2.14,,,98,136,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,20:20:41 16-Apr-2024,,,A,37.3033,-122.5588,CRC 2.8,,,98,33,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,18:33:57 17-Apr-2024,,,B,37.2840,-122.5469,CRC 2.8,18:33:57 17-Apr-2024,Status,98,138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,18:52:58 17-Apr-2024,,,B,37.2808,-122.5647,CRC 13.14,18:52:58 17-Apr-2024,Status,13,92,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
