Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
6218,254025,3,NP,3,1,08-Apr-2024,17:19:28,36.9509,-122.0699,,401677651,-124,50,0,08-Apr-2024,17:14:57,36.9509,-122.0699,542,207,586,73,96,,,88,245,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254025,23,NP,3,1,08-Apr-2024,17:19:28,36.9509,-122.0699,,401677651,-124,50,0,08-Apr-2024,17:19:29,36.9509,-122.0699,542,207,586,73,96,,,93,48,165,253,232,151,33,17,20,69,71,9,20,3,241,28,1,255,1,201,160,0,0,,,,,,,,,
6218,254025,3,NP,3,1,08-Apr-2024,17:19:28,36.9509,-122.0699,,401677651,-124,50,0,08-Apr-2024,17:20:59,36.9509,-122.0699,542,207,586,73,96,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254025,3,NP,3,1,08-Apr-2024,17:19:28,36.9509,-122.0699,,401677651,-124,50,0,08-Apr-2024,17:22:29,36.9509,-122.0699,542,207,586,73,96,,,53,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254025,3,NP,3,1,08-Apr-2024,17:19:28,36.9509,-122.0699,,401677651,-124,50,0,08-Apr-2024,17:23:59,36.9509,-122.0699,542,207,586,73,96,,,78,135,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254025,3,MB,B,2,08-Apr-2024,17:33:04,36.9502,-122.0696,,401677657,-133,6,0,08-Apr-2024,17:33:05,36.9502,-122.0696,,875,1114,687,92,,,64,145,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254025,3,MC, ,3,10-Apr-2024,19:24:00,,,,401650000,,,0,10-Apr-2024,19:24:00,,,,,,,,,,53,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254025,23,NN, ,4,10-Apr-2024,20:05:14,,,,401650000,-137,,0,10-Apr-2024,20:05:14,,,,,,,,,,91,112,165,253,232,151,33,21,37,80,100,165,20,4,75,54,25,191,1,195,128,15,68,,,,,,,,,
6218,254025,3,CS, ,5,10-Apr-2024,23:06:34,,,,401650000,-140,,0,10-Apr-2024,23:06:34,,,,,,,,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,254025,3,CS, ,6,11-Apr-2024,02:28:47,,,,401650000,-136,,0,11-Apr-2024,02:28:47,,,,,,,,,,57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
